0	0	(19.020025572926816,0.0)
0	1	(3.610293845728165,0.9591936921946452)
0	2	(12.281146151811287,6.818668322574632)
0	3	(39.20372576114745,35.93803588539689)
0	4	(115.27092629656433,166.73271316316615)
0	5	(298.1160693872496,719.0232245211463)
1	0	(3.610293845728165,-0.9591936921946452)
1	1	(15.013211998118733,1.6810792439126505e-17)
1	2	(58.520222577661535,14.87487375434974)
1	3	(214.9806526514514,113.88039946864329)
1	4	(742.0549727346998,644.095952450957)
1	5	(2336.7555485049356,3196.0504074698056)
2	0	(12.281146151811287,-6.818668322574632)
2	1	(58.52022257766154,-14.874873754349736)
2	2	(258.90712242470295,-4.216753614258442e-16)
2	3	(1074.1324513070722,262.56226557145703)
2	4	(4209.450717608393,2138.3525106100897)
2	5	(15535.97993863972,12848.744326880365)
3	0	(39.20372576114745,-35.93803588539689)
3	1	(214.9806526514514,-113.88039946864329)
3	2	(1074.1324513070722,-262.56226557145703)
3	3	(5065.254037905355,5.629560730559899e-15)
3	4	(21898.081908906184,5189.410476532064)
3	5	(90828.39635122987,44410.931611236694)
4	0	(115.27092629656433,-166.73271316316615)
4	1	(742.0549727346998,-644.095952450957)
4	2	(4209.450717608393,-2138.3525106100897)
4	3	(21898.081908906188,-5189.4104765320635)
4	4	(127394.96293676544,-2.7867392920640367e-14)
4	5	(482385.16105610266,120144.62974947362)
5	0	(298.1160693872496,-719.0232245211463)
5	1	(2336.7555485049356,-3196.0504074698056)
5	2	(15535.979938639724,-12848.744326880365)
5	3	(90828.3963512299,-44410.93161123669)
5	4	(482385.16105610266,-120144.6297494737)
5	5	(9617438.809652803,2.5642730186963244e-12)
